experiment_type,heldout_site,model,featuregroup,hyperparameter_tuning,top5_features,trainset_size,testset_size,train_accuracy,test_accuracy,precision,recall,f1 score,actual_mins_GENON,predicted_mins_GENON,Percentage generator on-time detection error
modified loso,Katwa,RandomForest_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"volt_b, HMM_State_freq_b_1, volt_a, HMM_State_freq_a_0, HMM_State_volt_a_0",85680,8064,0.9997665732959851,0.8550347222222222,0.2641509433962264,0.19332566168009205,0.22325581395348837,869,636,-26.812428078250864
modified loso,Katwa,XGBoost_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"HMM_State_freq_b_1, HMM_State_freq_b_0, HMM_State_freq_a_2, volt_in_range_clinique, freq_in_range_clinique",85680,8064,0.9997549019607843,0.9280753968253969,0.9025069637883009,0.37284234752589185,0.5276872964169381,869,359,-58.68814729574223
modified loso,Ndosho,LogisticRegression,Voltage and Frequency Only,True,"volt_a, freq_a, freq_b, volt_b",60480,18144,0.8633928571428572,0.8168540564373897,0.7142857142857143,0.001503307276007216,0.003000300030003,3326,7,-99.78953698135899
modified loso,Ndosho,RandomForest_tuned,Voltage and Frequency Only,True,"freq_a, freq_b, volt_a, volt_b",60480,18144,0.9887896825396826,0.8431988536155203,0.5866042491897732,0.48977751052315094,0.5338358184499427,3326,2777,-16.50631389055923
modified loso,Ndosho,XGBoost_tuned,Voltage and Frequency Only,True,"freq_b, freq_a, volt_b, volt_a",60480,18144,0.9892691798941798,0.8118386243386243,0.48636926889714993,0.4720384846662658,0.4790967348184315,3326,3228,-2.9464822609741432
modified loso,Ndosho,LogisticRegression,"Voltage, Frequency and Mean Threshold",True,"freq_a, higher_freq_lab, higher_volt_lab, higher_freq_clinique, freq_b",60480,18144,0.8731316137566137,0.814539241622575,0.0851063829787234,0.0012026458208057728,0.0023717758671805513,3326,47,-98.58689116055322
modified loso,Ndosho,RandomForest_tuned,"Voltage, Frequency and Mean Threshold",True,"freq_a, volt_a, freq_b, volt_b, higher_volt_lab",60480,18144,0.9933531746031746,0.8340498236331569,0.5549354726194629,0.4783523752254961,0.5138059098982722,3326,2867,-13.800360793746242
modified loso,Ndosho,XGBoost_tuned,"Voltage, Frequency and Mean Threshold",True,"freq_b, freq_a, higher_volt_clinique, higher_freq_lab, volt_b",60480,18144,0.9892857142857143,0.8118386243386243,0.48614609571788414,0.46422128683102826,0.474930790525992,3326,3176,-4.509921828021648
modified loso,Ndosho,LogisticRegression,"Voltage, Frequency, Mean Threshold and Time Series",True,"Prev_High_delta_freq_lab, Prev_High_delta_freq_clinique, volt_in_range_clinique, Prev_High_delta_volt_lab, volt_b",60480,18144,0.8875826719576719,0.814539241622575,0.3511450381679389,0.013830426939266387,0.026612669945039052,3326,131,-96.0613349368611
modified loso,Ndosho,RandomForest_tuned,"Voltage, Frequency, Mean Threshold and Time Series",True,"freq_a, volt_a, freq_b, Freq_delta_lab, volt_b",60480,18144,0.9984953703703704,0.8245149911816578,0.5199662542182227,0.5559230306674684,0.5373437954083116,3326,3556,6.915213469633193
modified loso,Ndosho,XGBoost_tuned,"Voltage, Frequency, Mean Threshold and Time Series",True,"volt_in_range_lab, volt_in_range_clinique, freq_b, freq_a, Hour_1",60480,18144,0.9980324074074074,0.810626102292769,0.48519913885898813,0.542092603728202,0.5120704345356433,3326,3716,11.725796752856283
modified loso,Ndosho,LogisticRegression,"Voltage, Frequency, Mean threshold, TS and HMM",True,"volt_b, volt_a, volt_in_range_clinique, HMM_State_volt_b_1, Prev_High_delta_freq_clinique",60480,18144,0.9723710317460318,0.6819334215167548,0.3006685145931844,0.5544197233914612,0.3898932233851358,3326,6133,84.3956704750451
modified loso,Ndosho,RandomForest_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"HMM_State_freq_a_0, HMM_State_freq_b_3, freq_b, volt_b, volt_a",60480,18144,0.9985615079365079,0.841820987654321,0.5762541806020067,0.5180396873120866,0.545598480050665,3326,2990,-10.10222489476849
modified loso,Ndosho,XGBoost_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"HMM_State_volt_b_1, HMM_State_freq_b_3, HMM_State_freq_a_0, HMM_State_freq_b_0, volt_in_range_clinique",60480,18144,0.9982142857142857,0.810460758377425,0.4838247924420269,0.508117859290439,0.4956738524710368,3326,3493,5.021046301864101
modified loso,Kitatumba,LogisticRegression,Voltage and Frequency Only,True,"volt_b, freq_b, volt_a, freq_a",85680,8064,0.8677521008403362,0.7410714285714286,0.0,0.0,0.0,2088,0,-100.0
modified loso,Kitatumba,RandomForest_tuned,Voltage and Frequency Only,True,"volt_b, freq_a, freq_b, volt_a",85680,8064,0.983578431372549,0.7682291666666666,0.8328267477203647,0.13122605363984674,0.2267273479520066,2088,329,-84.24329501915709
modified loso,Kitatumba,XGBoost_tuned,Voltage and Frequency Only,True,"volt_b, freq_a, volt_a, freq_b",85680,8064,0.9863678804855276,0.7741815476190477,0.758220502901354,0.18773946360153257,0.30095969289827257,2088,517,-75.23946360153256
modified loso,Kitatumba,LogisticRegression,"Voltage, Frequency and Mean Threshold",True,"volt_b, higher_volt_clinique, freq_b, higher_volt_lab, volt_a",85680,8064,0.8926820728291317,0.7590525793650794,1.0,0.06944444444444445,0.12987012987012986,2088,145,-93.05555555555556
modified loso,Kitatumba,RandomForest_tuned,"Voltage, Frequency and Mean Threshold",True,"volt_b, freq_a, freq_b, volt_a, higher_volt_lab",85680,8064,0.9826914098972922,0.7719494047619048,0.8878504672897196,0.13649425287356323,0.23661270236612703,2088,321,-84.6264367816092
modified loso,Kitatumba,XGBoost_tuned,"Voltage, Frequency and Mean Threshold",True,"volt_b, freq_a, volt_a, freq_b, higher_volt_clinique",85680,8064,0.9863678804855276,0.7741815476190477,0.758220502901354,0.18773946360153257,0.30095969289827257,2088,517,-75.23946360153256
modified loso,Kitatumba,LogisticRegression,"Voltage, Frequency, Mean Threshold and Time Series",True,"volt_b, volt_in_range_clinique, Prev_High_delta_freq_clinique, volt_a, higher_volt_clinique",85680,8064,0.9436507936507936,0.7721974206349206,0.9498207885304659,0.12691570881226052,0.22391212505280947,2088,279,-86.63793103448276
modified loso,Kitatumba,RandomForest_tuned,"Voltage, Frequency, Mean Threshold and Time Series",True,"volt_b, freq_a, volt_a, freq_b, Freq_delta_lab",85680,8064,0.9984710550887022,0.783234126984127,0.9166666666666666,0.17911877394636017,0.29967948717948717,2088,408,-80.45977011494253
modified loso,Kitatumba,XGBoost_tuned,"Voltage, Frequency, Mean Threshold and Time Series",True,"volt_b, freq_a, Hour_1, Hour_0, Hour_4",85680,8064,0.9996732026143791,0.7973710317460317,0.952191235059761,0.2289272030651341,0.3691119691119691,2088,502,-75.95785440613027
modified loso,Kitatumba,LogisticRegression,"Voltage, Frequency, Mean threshold, TS and HMM",True,"volt_b, Prev_High_delta_freq_clinique, HMM_State_volt_b_2, HMM_State_volt_a_4, HMM_State_volt_a_0",85680,8064,0.9492763772175536,0.7744295634920635,1.0,0.12883141762452108,0.22825625795502757,2088,269,-87.11685823754789
modified loso,Kitatumba,RandomForest_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"volt_b, freq_a, volt_a, freq_b, HMM_State_freq_b_2",85680,8064,0.9991013071895425,0.7705853174603174,0.9280575539568345,0.1235632183908046,0.2180896027049873,2088,278,-86.68582375478927
modified loso,Kitatumba,XGBoost_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"HMM_State_freq_b_2, HMM_State_volt_b_1, volt_b, freq_a, HMM_State_volt_b_2",85680,8064,0.9998949579831933,0.7535962301587301,0.9316239316239316,0.05220306513409962,0.09886621315192744,2088,117,-94.39655172413794
