experiment_type,heldout_site,model,featuregroup,hyperparameter_tuning,top5_features,trainset_size,testset_size,train_accuracy,test_accuracy,precision,recall,f1 score,actual_mins_GENON,predicted_mins_GENON,Percentage generator on-time detection error
modified loso,Katwa,RandomForest_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"volt_b, HMM_State_freq_b_1, volt_a, HMM_State_freq_a_0, HMM_State_volt_a_0",85680,8064,0.9997665732959851,0.8550347222222222,0.2641509433962264,0.19332566168009205,0.22325581395348837,869,636,-26.812428078250864
modified loso,Katwa,XGBoost_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"HMM_State_freq_b_1, HMM_State_freq_a_2, HMM_State_volt_b_2, HMM_State_freq_b_0, volt_b",85680,8064,0.9999649859943978,0.9255952380952381,0.8944281524926686,0.35097813578826237,0.5041322314049587,869,341,-60.75949367088607
modified loso,Ndosho,LogisticRegression,Voltage and Frequency Only,True,"volt_a, freq_a, freq_b, volt_b",60480,18144,0.8633928571428572,0.8168540564373897,0.7142857142857143,0.001503307276007216,0.003000300030003,3326,7,-99.78953698135899
modified loso,Ndosho,RandomForest_tuned,Voltage and Frequency Only,True,"freq_a, freq_b, volt_a, volt_b",60480,18144,0.9887896825396826,0.8431988536155203,0.5866042491897732,0.48977751052315094,0.5338358184499427,3326,2777,-16.50631389055923
modified loso,Ndosho,XGBoost_tuned,Voltage and Frequency Only,True,"freq_b, freq_a, volt_b, volt_a",60480,18144,0.9890707671957671,0.812334656084656,0.48752762867066624,0.46422128683102826,0.47558909594948406,3326,3167,-4.7805171377029465
modified loso,Ndosho,LogisticRegression,"Voltage, Frequency and Mean Threshold",True,"freq_a, higher_freq_lab, higher_volt_lab, higher_freq_clinique, freq_b",60480,18144,0.8731316137566137,0.814539241622575,0.0851063829787234,0.0012026458208057728,0.0023717758671805513,3326,47,-98.58689116055322
modified loso,Ndosho,RandomForest_tuned,"Voltage, Frequency and Mean Threshold",True,"freq_a, volt_a, freq_b, volt_b, higher_volt_lab",60480,18144,0.9933531746031746,0.8340498236331569,0.5549354726194629,0.4783523752254961,0.5138059098982722,3326,2867,-13.800360793746242
modified loso,Ndosho,XGBoost_tuned,"Voltage, Frequency and Mean Threshold",True,"freq_b, freq_a, higher_volt_clinique, higher_freq_lab, volt_b",60480,18144,0.9890873015873016,0.814594356261023,0.49415744157441577,0.4831629585087192,0.48859835816357555,3326,3252,-2.2248947684906795
modified loso,Ndosho,LogisticRegression,"Voltage, Frequency, Mean Threshold and Time Series",True,"Prev_High_delta_freq_lab, Prev_High_delta_freq_clinique, volt_in_range_clinique, Prev_High_delta_volt_lab, volt_b",60480,18144,0.8875826719576719,0.814539241622575,0.3511450381679389,0.013830426939266387,0.026612669945039052,3326,131,-96.0613349368611
modified loso,Ndosho,RandomForest_tuned,"Voltage, Frequency, Mean Threshold and Time Series",True,"freq_a, volt_a, freq_b, Freq_delta_lab, volt_b",60480,18144,0.9984953703703704,0.8245149911816578,0.5199662542182227,0.5559230306674684,0.5373437954083116,3326,3556,6.915213469633193
modified loso,Ndosho,XGBoost_tuned,"Voltage, Frequency, Mean Threshold and Time Series",True,"freq_b, freq_a, Hour_0, Hour_1, Hour_2",60480,18144,0.999156746031746,0.8112323633156967,0.48556430446194226,0.5006013229104029,0.4929681717246484,3326,3429,3.0968129885748645
modified loso,Ndosho,LogisticRegression,"Voltage, Frequency, Mean threshold, TS and HMM",True,"volt_b, volt_a, volt_in_range_clinique, HMM_State_volt_b_1, Prev_High_delta_freq_clinique",60480,18144,0.9723710317460318,0.6819334215167548,0.3006685145931844,0.5544197233914612,0.3898932233851358,3326,6133,84.3956704750451
