experiment_type,heldout_site,model,featuregroup,hyperparameter_tuning,top5_features,trainset_size,testset_size,train_accuracy,test_accuracy,precision,recall,f1 score,actual_mins_GENON,predicted_mins_GENON,Percentage generator on-time detection error
modified loso,Katwa,RandomForest,"Voltage, Frequency, Mean Threshold, Time Series, HMM",False,"volt_b, HMM_State_freq_b_1, HMM_State_freq_b_0, freq_a, freq_b",85680,8064,0.9999883286647993,0.9149305555555556,0.9066666666666666,0.23475258918296893,0.37294332723948814,869,225,-74.10817031070195
modified loso,Katwa,XGBoost,"Voltage, Frequency, Mean Threshold, Time Series, HMM",False,"HMM_State_freq_b_1, HMM_State_freq_a_0, volt_b, HMM_State_volt_a_0, volt_a",85680,8064,0.9997315592903828,0.9262152777777778,0.8848314606741573,0.3624856156501726,0.5142857142857142,869,356,-59.03337169159954
modified loso,Ndosho,LogisticRegression,"Voltage, Frequency",False,"volt_a, freq_a, freq_b, volt_b",60480,18144,0.8633928571428572,0.8168540564373897,0.7142857142857143,0.001503307276007216,0.003000300030003,3326,7,-99.78953698135899
modified loso,Ndosho,RandomForest,"Voltage, Frequency",False,"freq_a, freq_b, volt_a, volt_b",60480,18144,0.9970734126984127,0.8349867724867724,0.5617100371747212,0.45429945880938066,0.5023271276595744,3326,2690,-19.122068550811786
modified loso,Ndosho,XGBoost,"Voltage, Frequency",False,"freq_a, freq_b, volt_a, volt_b",60480,18144,0.9902612433862434,0.8181216931216931,0.5045486354093772,0.4335538184004811,0.4663648124191462,3326,2858,-14.070956103427541
modified loso,Ndosho,LogisticRegression,"Voltage, Frequency, Mean Threshold",False,"freq_a, higher_freq_lab, higher_volt_lab, higher_freq_clinique, freq_b",60480,18144,0.8731316137566137,0.814539241622575,0.0851063829787234,0.0012026458208057728,0.0023717758671805513,3326,47,-98.58689116055322
modified loso,Ndosho,RandomForest,"Voltage, Frequency, Mean Threshold",False,"freq_b, freq_a, volt_b, volt_a, higher_freq_lab",60480,18144,0.9970568783068783,0.8391203703703703,0.5747886806321205,0.4702345159350571,0.5172812965106665,3326,2721,-18.190018039687313
modified loso,Ndosho,XGBoost,"Voltage, Frequency, Mean Threshold",False,"freq_a, freq_b, volt_a, volt_b, higher_freq_lab",60480,18144,0.9904265873015873,0.8122795414462081,0.485805535841022,0.4116055321707757,0.4456380208333333,3326,2818,-15.273601924233313
modified loso,Ndosho,LogisticRegression,"Voltage, Frequency, Mean Threshold, Time Series",False,"Prev_High_delta_freq_lab, Prev_High_delta_freq_clinique, volt_in_range_clinique, Prev_High_delta_volt_lab, volt_b",60480,18144,0.8875826719576719,0.814539241622575,0.3511450381679389,0.013830426939266387,0.026612669945039052,3326,131,-96.0613349368611
modified loso,Ndosho,RandomForest,"Voltage, Frequency, Mean Threshold, Time Series",False,"freq_a, freq_b, volt_a, Freq_delta_lab, volt_b",60480,18144,0.9999834656084656,0.8337742504409171,0.5435393258426966,0.5817799158147925,0.5620098751089166,3326,3560,7.0354780517137705
modified loso,Ndosho,XGBoost,"Voltage, Frequency, Mean Threshold, Time Series",False,"freq_a, freq_b, Hour_1, Hour_0, Hour_2",60480,18144,0.9971560846560846,0.8080908289241623,0.4776887871853547,0.50210463018641,0.4895924948695397,3326,3496,5.111244738424534
modified loso,Ndosho,LogisticRegression,"Voltage, Frequency, Mean Threshold, Time Series, HMM",False,"volt_b, volt_a, volt_in_range_clinique, HMM_State_volt_b_1, Prev_High_delta_freq_clinique",60480,18144,0.9723544973544973,0.6824294532627866,0.30111038536903983,0.5544197233914612,0.39026455026455026,3326,6124,84.1250751653638
modified loso,Ndosho,RandomForest,"Voltage, Frequency, Mean Threshold, Time Series, HMM",False,"HMM_State_freq_a_0, HMM_State_freq_b_3, HMM_State_freq_b_0, freq_b, freq_a",60480,18144,0.9999834656084656,0.8310736331569665,0.537902991577113,0.5568250150330728,0.547200472743389,3326,3443,3.5177390258568852
modified loso,Ndosho,XGBoost,"Voltage, Frequency, Mean Threshold, Time Series, HMM",False,"HMM_State_freq_a_0, HMM_State_freq_b_3, HMM_State_volt_a_1, HMM_State_freq_b_0, Hour_0",60480,18144,0.997172619047619,0.808586860670194,0.4784394250513347,0.4903788334335538,0.4843355605048255,3326,3409,2.4954900781719784
modified loso,Kitatumba,LogisticRegression,"Voltage, Frequency",False,"volt_b, freq_b, volt_a, freq_a",85680,8064,0.8677521008403362,0.7410714285714286,0.0,0.0,0.0,2088,0,-100.0
modified loso,Kitatumba,RandomForest,"Voltage, Frequency",False,"volt_b, freq_a, freq_b, volt_a",85680,8064,0.9943510737628385,0.7689732142857143,0.7167630057803468,0.1781609195402299,0.285385500575374,2088,519,-75.14367816091954
modified loso,Kitatumba,XGBoost,"Voltage, Frequency",False,"volt_b, freq_a, volt_a, freq_b",85680,8064,0.9842086834733893,0.7917906746031746,0.8369028006589786,0.24329501915708812,0.3769944341372913,2088,607,-70.92911877394636
modified loso,Kitatumba,LogisticRegression,"Voltage, Frequency, Mean Threshold",False,"volt_b, higher_volt_clinique, freq_b, higher_volt_lab, volt_a",85680,8064,0.8926820728291317,0.7590525793650794,1.0,0.06944444444444445,0.12987012987012986,2088,145,-93.05555555555556
modified loso,Kitatumba,RandomForest,"Voltage, Frequency, Mean Threshold",False,"volt_b, freq_a, freq_b, volt_a, higher_volt_lab",85680,8064,0.9943510737628385,0.7630208333333334,0.7251908396946565,0.13649425287356323,0.22974607013301088,2088,393,-81.17816091954023
modified loso,Kitatumba,XGBoost,"Voltage, Frequency, Mean Threshold",False,"volt_b, freq_a, volt_a, freq_b, higher_volt_clinique",85680,8064,0.9842086834733893,0.7917906746031746,0.8369028006589786,0.24329501915708812,0.3769944341372913,2088,607,-70.92911877394636
modified loso,Kitatumba,LogisticRegression,"Voltage, Frequency, Mean Threshold, Time Series",False,"volt_b, volt_in_range_clinique, Prev_High_delta_freq_clinique, volt_a, higher_volt_clinique",85680,8064,0.9436507936507936,0.7721974206349206,0.9498207885304659,0.12691570881226052,0.22391212505280947,2088,279,-86.63793103448276
modified loso,Kitatumba,RandomForest,"Voltage, Frequency, Mean Threshold, Time Series",False,"volt_b, freq_b, freq_a, volt_a, Freq_delta_lab",85680,8064,0.9999883286647993,0.7921626984126984,0.9813084112149533,0.20114942528735633,0.3338632750397456,2088,428,-79.50191570881226
modified loso,Kitatumba,XGBoost,"Voltage, Frequency, Mean Threshold, Time Series",False,"volt_b, freq_a, Hour_0, Hour_1, Hour_4",85680,8064,0.9959150326797386,0.7847222222222222,0.9170616113744076,0.1853448275862069,0.3083665338645418,2088,422,-79.78927203065135
modified loso,Kitatumba,LogisticRegression,"Voltage, Frequency, Mean Threshold, Time Series, HMM",False,"volt_b, Prev_High_delta_freq_clinique, HMM_State_volt_b_2, HMM_State_volt_a_4, HMM_State_volt_a_0",85680,8064,0.9492763772175536,0.7744295634920635,1.0,0.12883141762452108,0.22825625795502757,2088,269,-87.11685823754789
modified loso,Kitatumba,RandomForest,"Voltage, Frequency, Mean Threshold, Time Series, HMM",False,"volt_b, freq_b, freq_a, volt_a, HMM_State_freq_a_4",85680,8064,0.9999883286647993,0.7614087301587301,1.0,0.07854406130268199,0.14564831261101244,2088,164,-92.1455938697318
modified loso,Kitatumba,XGBoost,"Voltage, Frequency, Mean Threshold, Time Series, HMM",False,"volt_b, HMM_State_volt_b_1, HMM_State_freq_b_2, freq_a, HMM_State_freq_a_2",85680,8064,0.9971988795518207,0.7600446428571429,0.9751552795031055,0.07519157088122605,0.13961760782570032,2088,161,-92.28927203065135
