facility,model,featuregroup,top5_features,trainset,testset,trainacc,testacc,precision,recall,f1 score,actual_mins_GENON,predicted_mins_GENON,Percentage generator on-time detection error
Walikale,LogisticRegression,Voltage and Frequency Only,"Frequency 09B35150 (Hgr Walikale - Lab), Voltage 09B35150 (Hgr Walikale - Lab), Frequency 64B734C2 (Hgr Walikale - Cabane), Voltage 64B734C2 (Hgr Walikale - Cabane)",12096,8064,0.9928902116402116,0.9418402777777778,0.9900990099009901,0.5186721991701245,0.6807351940095303,964,505,-47.614107883817425
Walikale,RandomForest,Voltage and Frequency Only,"Frequency 09B35150 (Hgr Walikale - Lab), Frequency 64B734C2 (Hgr Walikale - Cabane), Voltage 64B734C2 (Hgr Walikale - Cabane), Voltage 09B35150 (Hgr Walikale - Lab)",12096,8064,1.0,0.996155753968254,1.0,0.9678423236514523,0.9836584080126516,964,933,-3.215767634854772
Walikale,XGBoost,Voltage and Frequency Only,"Frequency 09B35150 (Hgr Walikale - Lab), Frequency 64B734C2 (Hgr Walikale - Cabane), Voltage 09B35150 (Hgr Walikale - Lab), Voltage 64B734C2 (Hgr Walikale - Cabane)",12096,8064,0.999834656084656,0.9971478174603174,1.0,0.9761410788381742,0.9879265091863517,964,941,-2.3858921161825726
Walikale,XGBoost-tuned,Voltage and Frequency Only,"Frequency 09B35150 (Hgr Walikale - Lab), Frequency 64B734C2 (Hgr Walikale - Cabane), Voltage 64B734C2 (Hgr Walikale - Cabane), Voltage 09B35150 (Hgr Walikale - Lab)",12096,8064,0.999834656084656,0.9964037698412699,1.0,0.9699170124481328,0.9847288046340179,964,935,-3.008298755186722
Walikale,LogisticRegression,"Voltage, Frequency and Mean Threshold","higher_freq_clinique, higher_freq_lab, higher_volt_clinique, higher_volt_lab, Frequency 09B35150 (Hgr Walikale - Lab)",12096,8064,0.9971064814814815,0.9755704365079365,0.9986996098829649,0.7966804979253111,0.8863242931332949,964,769,-20.228215767634854
Walikale,RandomForest,"Voltage, Frequency and Mean Threshold","Frequency 64B734C2 (Hgr Walikale - Cabane), Frequency 09B35150 (Hgr Walikale - Lab), higher_freq_clinique, higher_freq_lab, Voltage 64B734C2 (Hgr Walikale - Cabane)",12096,8064,1.0,0.9949156746031746,1.0,0.9574688796680498,0.9782723900370959,964,923,-4.253112033195021
Walikale,XGBoost,"Voltage, Frequency and Mean Threshold","Frequency 09B35150 (Hgr Walikale - Lab), Frequency 64B734C2 (Hgr Walikale - Cabane), Voltage 09B35150 (Hgr Walikale - Lab), Voltage 64B734C2 (Hgr Walikale - Cabane), higher_volt_clinique",12096,8064,0.999834656084656,0.9971478174603174,1.0,0.9761410788381742,0.9879265091863517,964,941,-2.3858921161825726
Walikale,XGBoost-tuned,"Voltage, Frequency and Mean Threshold","higher_freq_clinique, Frequency 09B35150 (Hgr Walikale - Lab), higher_volt_clinique, higher_freq_lab, Frequency 64B734C2 (Hgr Walikale - Cabane)",12096,8064,0.999834656084656,0.9968998015873016,1.0,0.9740663900414938,0.9868628481345244,964,939,-2.5933609958506225
Walikale,LogisticRegression,"Voltage, Frequency, Mean Threshold and Time Series","higher_freq_clinique, higher_freq_lab, freq_delta_negative_clinique, Hour_7, Hour_2",12096,8064,0.9986772486772487,0.9852430555555556,0.9988193624557261,0.8775933609958506,0.9342904472667035,964,847,-12.136929460580912
Walikale,RandomForest,"Voltage, Frequency, Mean Threshold and Time Series","Frequency 09B35150 (Hgr Walikale - Lab), Frequency 64B734C2 (Hgr Walikale - Cabane), higher_freq_clinique, higher_freq_lab, Freq_delta_clinique",12096,8064,1.0,0.9976438492063492,1.0,0.9802904564315352,0.9900471451021478,964,945,-1.9709543568464731
Walikale,XGBoost,"Voltage, Frequency, Mean Threshold and Time Series","Frequency 09B35150 (Hgr Walikale - Lab), Frequency 64B734C2 (Hgr Walikale - Cabane), Freq_delta_clinique, Freq_delta_lab, Voltage 09B35150 (Hgr Walikale - Lab)",12096,8064,0.999917328042328,0.9978918650793651,1.0,0.9823651452282157,0.9911041339612768,964,947,-1.7634854771784232
Walikale,XGBoost-tuned,"Voltage, Frequency, Mean Threshold and Time Series","Frequency 09B35150 (Hgr Walikale - Lab), higher_freq_clinique, Frequency 64B734C2 (Hgr Walikale - Cabane), higher_freq_lab, Freq_delta_clinique",12096,8064,1.0,0.9982638888888888,1.0,0.9854771784232366,0.9926854754440961,964,950,-1.4522821576763485
Walikale,LogisticRegression,"Voltage, Frequency, Mean threshold, TS and HMM","HMM_State_Frequency 09B35150 (Hgr Walikale - Lab)_3, HMM_State_Frequency 64B734C2 (Hgr Walikale - Cabane)_2, HMM_State_Frequency 09B35150 (Hgr Walikale - Lab)_0, higher_freq_lab, HMM_State_Frequency 64B734C2 (Hgr Walikale - Cabane)_0",12096,8064,0.999917328042328,0.9996279761904762,1.0,0.9968879668049793,0.9984415584415585,964,961,-0.3112033195020747
Walikale,RandomForest,"Voltage, Frequency, Mean threshold, TS and HMM","HMM_State_Frequency 09B35150 (Hgr Walikale - Lab)_3, Frequency 64B734C2 (Hgr Walikale - Cabane), Frequency 09B35150 (Hgr Walikale - Lab), HMM_State_Frequency 64B734C2 (Hgr Walikale - Cabane)_2, higher_freq_clinique",12096,8064,1.0,0.9995039682539683,1.0,0.995850622406639,0.997920997920998,964,960,-0.4149377593360996
Walikale,XGBoost,"Voltage, Frequency, Mean threshold, TS and HMM","HMM_State_Frequency 09B35150 (Hgr Walikale - Lab)_3, Frequency 09B35150 (Hgr Walikale - Lab), HMM_State_Frequency 64B734C2 (Hgr Walikale - Cabane)_2, HMM_State_Frequency 64B734C2 (Hgr Walikale - Cabane)_0, freq_in_range_clinique",12096,8064,1.0,0.9996279761904762,1.0,0.9968879668049793,0.9984415584415585,964,961,-0.3112033195020747
Walikale,XGBoost-tuned,"Voltage, Frequency, Mean threshold, TS and HMM","HMM_State_Frequency 09B35150 (Hgr Walikale - Lab)_3, Frequency 09B35150 (Hgr Walikale - Lab), Frequency 64B734C2 (Hgr Walikale - Cabane), higher_freq_clinique, higher_freq_lab",12096,8064,1.0,0.9992559523809523,1.0,0.9937759336099585,0.9968782518210197,964,958,-0.6224066390041494
Kitatumba,LogisticRegression,Voltage and Frequency Only,"Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), Voltage D2B9CB2E (Hgr Kitatumba - Mdh office), Voltage 6EF39700 (Hgr Kitatumba - Labo), Frequency 6EF39700 (Hgr Kitatumba - Labo)",12096,8064,0.9265873015873016,0.8494543650793651,0.9965909090909091,0.4200191570881226,0.5909703504043127,2088,880,-57.8544061302682
Kitatumba,RandomForest,Voltage and Frequency Only,"Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), Frequency 6EF39700 (Hgr Kitatumba - Labo), Voltage 6EF39700 (Hgr Kitatumba - Labo), Voltage D2B9CB2E (Hgr Kitatumba - Mdh office)",12096,8064,1.0,1.0,1.0,1.0,1.0,2088,2088,0.0
Kitatumba,XGBoost,Voltage and Frequency Only,"Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), Frequency 6EF39700 (Hgr Kitatumba - Labo), Voltage 6EF39700 (Hgr Kitatumba - Labo), Voltage D2B9CB2E (Hgr Kitatumba - Mdh office)",12096,8064,1.0,0.9988839285714286,0.9995194617972128,0.9961685823754789,0.9978412089230031,2088,2081,-0.33524904214559387
